idx	word	count	avg_attr	std_attr	avg_pred
0	wonderful	1	1.0	0.0	1.0
1	warm	1	1.0	0.0	1.0
2	terrific	1	1.0	0.0	1.0
3	sexy	1	1.0	0.0	1.0
4	refreshingly	1	1.0	0.0	1.0
5	referential	1	1.0	0.0	1.0
6	proud	1	1.0	0.0	1.0
7	poignant	1	1.0	0.0	1.0
8	pleasure	1	1.0	0.0	1.0
9	nicest	1	1.0	0.0	1.0
10	neater	1	1.0	0.0	1.0
11	motivates	1	1.0	0.0	1.0
12	meaningful	1	1.0	0.0	1.0
13	masterpiece	1	1.0	0.0	1.0
14	marvels	1	1.0	0.0	1.0
15	lovingly	1	1.0	0.0	1.0
16	laugh	1	1.0	0.0	1.0
17	jolly	1	1.0	0.0	1.0
18	intriguing	1	1.0	0.0	1.0
19	intimate	1	1.0	0.0	1.0
20	intelligent	1	1.0	0.0	1.0
21	inspiring	1	1.0	0.0	1.0
22	imaginative	1	1.0	0.0	1.0
23	hilarious	2	1.0	0.0	1.0
24	happily	1	1.0	0.0	1.0
25	handsome	1	1.0	0.0	1.0
26	grateful	1	1.0	0.0	1.0
27	gift	1	1.0	0.0	1.0
28	flattered	1	1.0	0.0	1.0
29	enjoyable	1	1.0	0.0	1.0
30	engaging	1	1.0	0.0	1.0
31	distinctive	1	1.0	0.0	1.0
32	delightful	2	1.0	0.0	1.0
33	delight	1	1.0	0.0	1.0
34	delectable	1	1.0	0.0	1.0
35	deftly	2	1.0	0.0	1.0
36	comfortable	1	1.0	0.0	1.0
37	colorful	1	1.0	0.0	1.0
38	candid	1	1.0	0.0	1.0
39	awe	1	1.0	0.0	1.0
40	audacious	1	1.0	0.0	1.0
41	artfully	1	1.0	0.0	1.0
42	artful	1	1.0	0.0	1.0
43	ambitious	1	1.0	0.0	1.0
44	amazing	2	1.0	0.0	1.0
45	adorable	1	1.0	0.0	1.0
46	#excitement	1	1.0	0.0	1.0
47	#brilliant	1	1.0	0.0	1.0
48	#bright	1	1.0	0.0	1.0
49	funny	4	0.916675	0.14432313354067672	1.0
50	excited	3	0.8889	0.15711912677965087	1.0
51	highly	2	0.83335	0.16665000000000002	1.0
52	brilliant	2	0.83335	0.16665000000000002	1.0
